COUNTRY,Country,SPECIES,Species,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,8979,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,8232,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,9832,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,11262,,
CAN,Canada,23,"Salmons, trouts, smelts",TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,9385,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,99,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,278,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,262,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,284,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,311,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,321,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,245,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,273,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,218,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,259,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,400,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,624,,
CAN,Canada,CIS,Lake cisco [Coregonus artedi],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,390,,
