COUNTRY,Country,FLEET,Fleet,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,2919,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,2856,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,2616,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,3126,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,2873,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,2409,,
AUS,Australia,FWEM30,30-35.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,2657,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,5,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,6,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,1,,
AUS,Australia,FWEM36,36-44.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM36,36-44.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,3700,,
AUS,Australia,FWEM36,36-44.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,2628,,
AUS,Australia,FWEM36,36-44.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,1198,,
AUS,Australia,FWEM36,36-44.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,863,,
